	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
LOC100040799	46.3	50.4	42	38.6	29	49.4	-0.239805352	1.135192517	0.319702916
LOC100040839	0	0	3.4	0	1.2	0.3	-0.508146904	0.532524262	0.622570318
LOC100040846	0	0.6	0	0	3.2	0	0.784271309	0.798583652	0.469260553
LOC100040851	0.4	0.2	2.5	0	0.4	0	-0.843274496	1.203870498	0.295008462
LOC100040854	0	0	0	0	0	0.5	0.222392421	1	0.373900966
LOC100040863	1.4	0	0	2.3	0	0	0.268488836	0.334251609	0.754980135
LOC100040885	0	0	2.2	1.6	2	2.1	0.742503778	1.557479558	0.194351585
LOC100040897	0.2	0	2.5	0	0	0	-0.925999419	1.122081707	0.32462931
LOC100040899	6.5	2.2	1.6	0	5.8	3.3	-0.136419198	0.175374135	0.869305435
LOC100040919	0	0	1.2	0	0	0	-0.485426827	1	0.373900966
LOC100040938	6.3	0	2.2	0	3.8	0	-0.75802721	0.699779868	0.52262385
LOC100040961	448.2	547.1	578.4	861.1	817.8	506.8	0.473166038	1.724671455	0.159674783
LOC100040962	1.7	5.6	0.6	1.6	3.7	10.7	0.801671284	0.859467847	0.438541022
LOC100040968	14.3	14.9	2.8	3	10.8	9.6	-0.406816992	0.619957704	0.568857216
LOC100040981	0	3.2	1	3.8	2.5	0.5	0.444784843	0.643398813	0.554996168
LOC100041003	0.4	0	0.8	0	0	1.8	0.192645078	0.311085508	0.771273307
LOC100041004	1	2.6	0.9	0	1.5	0	-0.736965594	1.344332145	0.250019316
LOC100041077	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100041103	3	7.1	3.3	0.9	1.8	2.5	-1	1.954598308	0.122310073
LOC100041128	0	0	0.3	0	0	0	-0.137503524	1	0.373900966
LOC100048726	40.2	49.4	38.7	35.4	31.1	27.6	-0.435323715	2.825770848	0.047548656
LOC100041187	3	0	1.7	0.1	0	0	-1.31259023	1.764019474	0.152499813
LOC100041194	0	1.1	1.3	0.3	2	0	-0.026967048	0.044901326	0.966338143
UHRF2	273.8	254.6	263.3	214	189.1	181.4	-0.435821493	6.114462511	0.003622336
LOC100041230	210.8	431.5	199.6	194	240.5	250.5	-0.296372033	0.674983758	0.536691359
LOC100041242	5.4	0	0	1.7	0	0	-0.837728571	0.653563376	0.549058528
LOC100041256	0	0	1.5	0	0	0.1	-0.537656786	0.931266147	0.404432864
LOC100041290	5.7	25.1	13.3	9.3	9.3	12.5	-0.465955321	0.754438124	0.492568263
LOC100041343	4	0.9	2.4	2.4	0	3.2	-0.260235772	0.431383166	0.688422231
LOC100041375	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100041388	454.3	418.3	469.4	267.8	452.5	281.3	-0.420984993	1.849603964	0.138052822
LOC100041416	1.6	22.9	4.6	7.8	1.2	10.3	-0.525529587	0.454415259	0.673097004
LOC100041422	0	4.4	0	0	0	2	-0.565597176	0.496563533	0.645547083
LOC100041430	0	0	0	0	0	1.2	0.485426827	1	0.373900966
LOC100041450	0	0	0	0	3.1	1	1.242856524	1.496111249	0.208957932
LOC100041452	0	0	0	0	0.7	0	0.30256277	1	0.373900966
LOC100041463	0.2	0	0.2	0.9	0	3.8	1.179323699	1.248081932	0.280071136
LOC100041466	1	0	0	0	1.1	0	0.03562391	0.067267279	0.949597043
LOC100041483	0.9	0	5.1	0	0	0	-1.584962501	1.272569526	0.272110565
LOC100041500	813.1	826.5	1043.9	792.9	830.9	842.2	-0.121801002	0.950547158	0.395660561
LOC100041504	2	0	0	0.3	2.1	0	0.111031312	0.142584601	0.893512082
LOC100041516	3	1.2	0.6	3.3	3	0.1	0.269186633	0.426856423	0.691455985
LOC100041522	0	0	2.4	0	0	2.5	0.026472211	0.028855493	0.978362134
LOC100041549	1.5	2.6	0	0	0	0	-1.242856524	1.813733216	0.143921337
LOC100041554	0.5	3.8	1.7	0	1.3	1.3	-0.684498174	1.071963324	0.34410555
LOC100041567	149	240.5	219.9	234	485	82.5	0.393618138	0.530972109	0.623551698
LOC100041569	14.4	8.3	0.5	8.7	12.4	13.7	0.528819423	0.90082314	0.418616335
LOC100041576	9.4	10.1	3.5	3.4	0	6.8	-0.977973694	1.486865084	0.21125359
RAB10	84.5	75.3	96.5	65.8	58.1	64.7	-0.436524645	3.423429731	0.026696007
LOC100041596	1.9	2.6	1	7	0	0.5	0.304854582	0.289642223	0.786483255
LOC100041608	0	0	0	0	1.9	0.6	0.874469118	1.486095746	0.211445751
LOC100041613	6.4	9	16.2	4.4	12	16.6	0.057224869	0.101247449	0.924226148
LOC100041622	0	0	0	0.2	0.1	0	0.137503524	1.732050808	0.158302423
LOC100041649	0	3	0	0.3	2.8	1	0.242856524	0.294092418	0.783316896
LOC100041681	33.5	28.7	12.1	23.9	24.3	25.6	-0.009362103	0.02562755	0.980781967
LOC100041703	288.7	196.1	183.4	197.3	211.8	243.3	-0.034367043	0.146881005	0.890331586
LOC100041722	1.4	0.1	0	0	2.3	0	0.236067358	0.299812676	0.779254324
LOC100041725	914.8	1165.8	1032.8	1201.5	918.7	1099	0.048165624	0.320750283	0.764457874
LOC100041729	0	0	0.8	0.2	0	2.5	0.584962501	0.749286856	0.495344476
MARK3	87.3	90.5	104.3	57	73	77.5	-0.437647806	3.063222383	0.037540253
LOC100041769	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100041796	9.5	1.9	0.8	2.8	8.7	7.3	0.520256811	0.674171723	0.537156573
LOC100041797	46.8	107.7	89.5	62.1	209.8	58.7	0.433608247	0.544872892	0.614796481
LOC100041835	959.4	1163.2	1356.9	1023.7	1098.2	862.8	-0.221088061	1.229506326	0.28625759
LOC100041864	5645.1	5797.1	6017.2	6145.4	6059.5	6640.5	0.110190207	2.19136222	0.093549725
LOC100041932	0	2	1.2	36.4	42.7	6	3.828801899	2.406316521	0.073848893
LOC100041934	1.6	4.9	0	3.1	0	0.4	-0.547487795	0.574590351	0.596338262
LOC100041980	1.2	0.2	0	0	0	0	-0.552541023	1.257237114	0.277069167
LOC100042011	2.7	5.2	15.8	0	0	5.5	-1.651304996	1.374377762	0.241299256
LOC100042018	2	0	0	0.6	0	4	0.604071324	0.613507932	0.572711831
LOC383010	789.3	842.7	927.2	556.5	761.6	570.2	-0.438004871	2.888486612	0.044630706
LOC100042083	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100042104	2.2	3.4	3.9	1	2.3	0	-0.988504361	2.474069342	0.068646317
FCHO1	722.4	590.8	700.9	544.8	455.5	485.5	-0.438132648	3.632931882	0.022102435
LOC100042159	0	0	0.1	0	2.6	0	0.853158612	0.960828053	0.3910495
LOC100042179	69.2	85.9	76.4	80.8	99.9	85.8	0.20069735	1.557788062	0.194280858
EIF2S3X	594.4	763	645.1	434.2	499.4	543	-0.438754761	2.965788297	0.041316454
LOC100042270	32	26	5.2	23.3	29.7	71.1	0.941060908	1.191299602	0.299391131
LOC100042290	4.9	3.1	3.2	5.8	3.3	1	-0.116324118	0.243783214	0.819391593
LOC100042351	0	0	0.1	0	2.9	0	0.928446739	0.964943724	0.389216499
LOC100042405	5571.4	3667.9	4399.9	7119.1	5619.8	5571.4	0.424815465	2.070716841	0.107143115
LOC100042427	2967.1	3672.2	2874.6	4076	4695.6	3653.3	0.385018921	2.464270793	0.069372283
LOC100042448	0	2.8	1.6	0	4.2	0.4	0.038474148	0.042601432	0.968061001
LOC100042456	4.6	0	0	1.9	0	1.1	-0.341036918	0.32734967	0.759818825
LOC100042481	0	0	0.6	0	0.2	3.1	0.807354922	0.8811117	0.428018455
SETD8	194.3	174.5	185.4	149.2	132.6	126.2	-0.439056864	5.456933619	0.005481323
LOC100042500	0	0	3.7	0	2.8	0	-0.208108195	0.193963715	0.855656267
LOC100042508	1	0	3.4	0	8.8	0	0.673189684	0.472817705	0.660988135
LOC100042514	5.7	1.8	4.6	1.2	0.8	2.7	-0.971618199	1.90181725	0.129966161
LOC100042540	0	1.8	0	3	0.5	1.8	0.790076931	1.242886442	0.28178851
LOC100042550	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100042604	0.2	3.1	1.3	0	6.7	0	0.351985329	0.293140599	0.783993701
LOC100042621	3.1	0	3.9	0	0	0	-1.736965594	1.961931491	0.121285754
LOC100042627	0	0	0	4.2	0.4	0	1.341036918	1.145711607	0.315800156
LOC100042744	3.2	0	4.5	2	4.8	3.8	0.345995855	0.616463391	0.57094337
LOC100042773	653.6	794.6	796	649.6	743.7	667	-0.123174928	1.106936088	0.330406697
LOC100042777	1747.3	2012.6	2170.5	1414.6	1813.9	1878.5	-0.215535754	1.440762074	0.223086145
LOC100042815	2.1	3.5	9.4	1.8	0	0.3	-1.819427754	1.865455633	0.135541851
LOC100042910	0	3	2.6	0	1	3.6	-0.178337241	0.233634657	0.826738521
LOC100042921	3.6	5.1	0	2.9	2.2	4.7	0.12963528	0.217406589	0.838530989
LOC100042952	23.9	13.1	21.7	33.8	17.7	24.3	0.35292514	0.996902384	0.375232911
LOC100042960	0	0	6.1	0	0.5	0	-1.378511623	0.914964282	0.411977113
LOC100042964	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100042970	267	163.6	241.6	199.9	143.4	187.2	-0.339826633	1.330276019	0.254204239
LOC100043040	4.1	1.6	0	2.5	3.3	5	0.665580961	1.212225856	0.29212895
LOC100043091	1	0	0	3.8	0	1.1	0.981852653	1.10441267	0.331378327
LOC100043126	64.3	43.8	40.6	63.5	65.5	47.1	0.239544252	0.967618128	0.388029345
LOC100043177	0.8	0	1.7	0	0	0	-0.874469118	1.697110583	0.164912445
LOC100043189	20.1	21.9	36.4	13.9	21.1	23.4	-0.406790139	1.129961537	0.321660176
LOC100043192	3524.9	3120.9	3222.7	3314.9	2955.3	2653.6	-0.145126219	1.390952666	0.236617863
LOC100043209	7845.9	8427.7	8169.5	8473.4	8262.5	8387.5	0.039599659	1.266172428	0.274168993
LOC100043257	1907.6	2466.1	3037.4	2421.3	1876.1	2256.1	-0.177345695	0.785552219	0.476050515
LOC100043308	3.7	6.9	1.4	3.9	6.7	0.2	-0.120294234	0.162132557	0.879061952
LOC100043313	122	48.5	65.4	76.2	55.2	72.9	-0.204686737	0.454768065	0.672863709
LOC100043322	2.4	0	0.2	0	0	0	-0.900464326	1.12724296	0.322681716
LOC100043332	1.9	1	2	7.1	2.9	3.4	1.053771256	2.079987333	0.106024463
LOC100043347	0	0	2	2.3	0.9	3	0.879705766	1.54083056	0.19820793
LOC100043357	3	3.3	8.7	1.9	1	0.1	-1.584962501	2.07950098	0.106082829
LOC100043389	0	1.8	0	1.7	0	0	-0.030373649	0.04038962	0.969718076
LOC100043391	7455.7	7952.8	7813.2	9009.2	8506.4	7850.7	0.127423751	1.949928311	0.122967301
LOC100043402	23.1	24	16.3	17.8	20.3	17.2	-0.187687358	1.034726664	0.359249569
LOC100043444	0	0.1	0	0	2.3	0	0.773724144	0.955618934	0.393380068
LOC100043518	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100043526	6.1	2.6	0.8	3	4.8	0	-0.210896782	0.27072947	0.799994857
LOC100043527	6664.6	7455.7	6560.4	5797.1	6145.4	6560.4	-0.160508985	2.024470979	0.112921218
LOC100043536	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100043544	0	1.4	1	0	0	0	-0.847996907	1.921537846	0.127046393
LOC100043555	221.8	188	162.2	229.5	163.1	237.3	0.138415612	0.661214003	0.544618666
LOC100043564	0.6	0	2.6	0	0	0	-1.047305715	1.357102287	0.246275839
LOC100043566	0	0	0	1.3	0	0	0.519374159	1	0.373900966
LOC100043602	0.2	0	1.7	0.9	0	1.7	0.192645078	0.320844474	0.764391577
LOC100043609	1.6	1.3	2.2	3.6	2.4	0	0.152003093	0.275009549	0.79692945
LOC100043671	178.4	175.9	175.3	179.6	216.9	182.6	0.128214589	1.374734838	0.241197445
LOC100043675	82.4	107.9	137.4	135.9	160.7	89.5	0.234617935	0.742191473	0.499187715
LOC100043684	1	0.6	0	0.8	0	0	-0.275634443	0.676123404	0.536038939
LOC100043697	0	0.1	0	0	0	0	-0.047305715	1	0.373900966
LOC100043761	3.4	2.5	0.5	2.2	0	1.5	-0.488499661	0.837234458	0.449567368
LOC100043796	225.3	285	282.5	342.2	424.5	274.6	0.392058416	1.742942767	0.156299573
LOC100043798	2.3	1.8	0.5	2.6	4.7	1	0.572251449	1.029367536	0.361477137
GINS4	880.6	815.8	1023	693.6	624.3	687	-0.439191636	3.66083118	0.021564509
LOC100043822	1.9	0	0.2	0	0.8	0	-0.424497829	0.657438259	0.546806682
LOC100043836	0	0	3.1	0	0	3.3	0.046542586	0.04417261	0.966884003
LOC100043863	0	0	0.1	0	0	0	-0.047305715	1	0.373900966
LOC100043898	0	1.9	0.4	0	0	0	-0.821029859	1.325697961	0.255581981
LOC100043900	1.4	0	0.1	0	3.4	0	0.508146904	0.519234227	0.631003699
LOC100043906	224.4	125.8	129	123.2	105.7	153.3	-0.324023948	0.918382322	0.4103856
LOC100043918	0	0.3	0	0	0	0	-0.137503524	1	0.373900966
LOC100043919	30.2	59.7	52.5	23.2	31.4	40.9	-0.56183164	1.52559254	0.201806124
LOC100043968	0	0	1	0.7	0.5	3.6	0.963474124	1.199867058	0.296397622
LOC100043969	0	2.3	0	3.1	0	0.3	0.272079545	0.293359411	0.783838091
NPTN	2457.2	2346.8	2360.4	1746.2	1542.2	1993.2	-0.439655595	4.65087868	0.009655112
LOC100043982	21.9	26.6	23.3	21.2	18.8	20.5	-0.236281678	2.406980924	0.073795747
LOC100043986	6.7	1.7	0	1.5	1.5	2.6	-0.406625259	0.456629651	0.671633462
LOC100043991	64.2	19.5	6.9	117.9	115.7	47.3	1.600802414	2.189534211	0.093740808
LOC100044008	0	0	0	0	0	0.5	0.222392421	1	0.373900966
LOC100044012	0	3.6	3	0	0	0	-1.678071905	1.975658322	0.119393404
LOC100044025	0	0	3.2	0	1.3	2.7	0.175086707	0.201837517	0.849893043
LOC100044037	2.3	0	0	0.5	1	0	-0.236067358	0.325515384	0.761107025
LOC100044059	0.7	2.6	0.7	0	0	1.6	-0.605721061	0.966203619	0.388656851
PKIG	119.2	134.3	143.9	104.2	77.5	110.4	-0.440238053	2.8325289	0.047223785
TMEM134	267.3	260.3	304.8	198.4	172.1	242.2	-0.440239575	2.967883917	0.041230687
ATPAF2	96.1	107.7	97	63.6	90.9	66.4	-0.440267342	2.822035725	0.047729323
LOC100044103	31.4	43	41.7	28.3	37.5	30.4	-0.263761387	1.440290553	0.223210546
LOC100044122	0	0	2.9	0	0	2	-0.23878686	0.25547983	0.810951746
LOC100044124	449.7	388.3	461	527.8	341.3	598.5	0.175675442	0.702757725	0.520952493
LOC100044129	8.1	5.2	7.5	5.6	2.3	6.2	-0.476965248	1.488521398	0.210840485
LOC100044133	0	0	1	0	0	0	-0.415037499	1	0.373900966
LOC100044146	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100044150	0	1	0	0	0	0	-0.415037499	1	0.373900966
LOC100044158	7.1	4.8	6.7	15.4	5.8	12.2	0.752907138	1.695335806	0.165255868
LOC100044159	29	29.9	20	28	30	26.4	0.093769828	0.550909752	0.611018113
LOC100044160	0	0	0	0	1.9	0	0.707819249	1	0.373900966
SRP19	26.5	30.8	35.1	23.6	20.9	22.8	-0.440464577	3.207422197	0.032668986
LOC100044165	2.5	4	4.5	4.7	2.6	4.5	0.080170349	0.296499727	0.781606178
LOC100044166	2.4	0	0	2.3	0	0	-0.026967048	0.030082842	0.977442121
MRPL39	23.6	25.6	20.9	19.3	14	17.5	-0.442265233	3.111284872	0.035827311
LOC100044172	83.4	86.5	58.6	90.4	104.7	97.8	0.354097503	2.20248505	0.092396373
LOC100044177	576.7	951	644.8	443.4	674.6	288.8	-0.625856506	1.588512668	0.187368068
LOC100044179	0.1	0	0.3	0	0	0	-0.180572246	1.511857892	0.205106455
LOC100044180	10	3.9	3.1	2.7	1.6	0	-1.454031631	1.828142572	0.1415324
LOC100044182	0	0.8	3	0	3	0	-0.180572246	0.198516667	0.85232238
LOC100044183	0	0	0.6	0	0	1.4	0.289506617	0.525225731	0.627193176
LOC100044185	0	0.4	0	0.6	0	0	0.08246216	0.277350098	0.795255008
LOC100044190	294.4	184.5	229.8	179.4	255.7	316.5	0.084442864	0.280992981	0.792651524
LOC100044200	0	1.9	0	0	0	0	-0.707819249	1	0.373900966
SIVA1	1493.1	1522.8	1361.1	1163.2	1039.6	1012.2	-0.444766544	5.694378554	0.00469855
LOC100044210	4.1	3	0	2.2	2.3	0.7	-0.300659478	0.476191972	0.658781229
C77604	565.9	528.5	703.4	411.5	437.5	470.4	-0.445479332	2.855861376	0.046121812
LOC100044218	0	0	0.5	0	0	0	-0.222392421	1	0.373900966
LOC100044221	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100044222	0	0	1.1	2.2	0	0	0.342887714	0.447213595	0.677868829
LOC100044251	0	2	0	0	0.7	2.7	0.35614381	0.445174101	0.679223538
LOC100044256	0	0	0.1	0	0	0	-0.047305715	1	0.373900966
LOC100044257	0	0	0	0	0	0.7	0.30256277	1	0.373900966
LOC100044275	12.5	0.2	1.9	5.6	0.2	11.2	0.184424571	0.160346008	0.880380337
LOC100044289	3.6	0	0	0	0	0.2	-1.044394119	0.942990334	0.399079294
LOC100044291	0	3	0	0.4	2.1	0	-0.125530882	0.140137964	0.895324341
LOC100044292	2.9	1.7	0	0	0	0.6	-1.078002512	1.541886689	0.197960989
LOC100044294	607.7	833.5	870.4	706.7	883.9	753.8	0.020300806	0.111878688	0.916309075
LOC100044298	350.4	229.1	184	291.8	209	454.5	0.322191577	0.730080083	0.505799394
LOC100044299	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100044314	14.7	4.6	0	1.7	3.6	10.6	-0.238657476	0.221537159	0.835524397
LOC100044315	2.9	0	2.5	0.6	2.6	0	-0.438121112	0.610875479	0.574290101
LOC100044317	0	0	0	2	0	0	0.736965594	1	0.373900966
LOC100044322	468.3	594.3	477	554.7	525	540.3	0.073298984	0.645429082	0.553806648
LOC100045430	73.1	94.8	86.6	55.9	68.1	62	-0.446186198	3.15356944	0.034395814
LOC100044363	1	0	1.1	0	0	2.2	0.028014376	0.040996003	0.969263759
LOC100044376	87.2	198.8	157.4	156.9	74.1	173.4	-0.131891047	0.290345706	0.785982385
LOC100044390	0.2	1.2	0.8	0	0	0	-0.793549123	2.523573073	0.065108507
LOC100044395	5.3	9.7	0.4	3.4	7.1	7.7	0.204358499	0.310727733	0.771526089
LOC100044411	0	5.5	3.6	2.3	0.4	0	-1.085973223	1.210784278	0.292623863
LOC100044430	56.2	26.4	16.8	44.3	33.7	5.2	-0.248455941	0.324455206	0.761852005
LOC100044439	752.7	502.3	661.4	966.5	1535	911.9	0.831821501	2.351183047	0.07841395
LOC100044443	1.6	2.1	0	0	1.1	0	-0.708537186	1.184267549	0.30186932
LOC100044452	0	1.3	6.7	0	0	0	-1.874469118	1.299996953	0.263452543
LOC100044468	128.1	72.7	89.9	94.4	90.4	165.1	0.264916164	0.674234755	0.537120453
LOC100044475	103.9	99.4	125.5	110.3	74.1	130.2	-0.063102974	0.258788221	0.808570096
TIMELESS	91.7	103.3	104.2	78.4	77.9	62.4	-0.44689489	4.055222649	0.015409232
LOC100044531	8.5	6.7	0.7	3.8	9.7	7.8	0.362570079	0.614390534	0.572183323
LOC100044538	16.3	12.6	0	12.6	24.4	37.5	1.280639886	1.742922661	0.156303246
LOC100044549	2.1	1.1	3.3	0	1	1.2	-0.86941589	1.94651854	0.1234496
USP14	39.2	41	42.3	26.5	28.6	33.9	-0.447981598	4.695544015	0.009339226
LOC100044565	1	3.8	0	0.5	0.3	1	-0.700439718	0.864944898	0.435858559
LOC100044566	81.8	95.2	119.1	104.3	98	111	0.080665645	0.496972854	0.645282766
LOC100044576	55.5	47	52.5	61.2	69.3	50.1	0.2166415	1.39976422	0.23416589
LOC100044582	0	0	0	1.8	0	0	0.678071905	1	0.373900966
LOC100044599	0	0.7	0	0	0	2.3	0.518467089	0.665512265	0.542135338
LOC100044622	0.6	0	5.7	3.5	0	0	-0.516790998	0.433704748	0.686869082
TARDBP	24.7	25.7	21.8	14.2	18.3	19.6	-0.448680343	3.343505049	0.02874188
LOC100044683	1.7	2.2	0	0	2.2	1.6	-0.021061616	0.03564615	0.973272462
LOC100044692	931.2	1180.2	963.1	964.6	735.1	1107.2	-0.131240069	0.667318765	0.541094011
TUSC1	420.6	552.8	453.6	315.4	337.9	391.3	-0.448927182	2.791720607	0.049225511
LOC100044698	4.2	2.6	1.4	0.2	0	2.2	-1.05246742	1.801972321	0.145903176
LOC100044699	2.3	0	2	0.5	3.7	2.7	0.439532061	0.728717411	0.506547344
LOC100044700	1.4	0	0	1.9	0	0	0.155278225	0.211856799	0.842575859
LOC100044702	0	0	0	0.3	0	0	0.137503524	1	0.373900966
LOC100044708	4.4	2	5.4	0	5.2	0	-0.851901361	1.096957117	0.334264241
MT-ND1	6487.3	6872.3	7483.5	4310.4	5430.2	5523.4	-0.449360905	3.828036277	0.018649428
LOC100044736	6	7.4	11.8	2.6	5.5	7.4	-0.608169892	1.445829987	0.221753458
LOC100044755	0	0	0	0	0	1.4	0.552541023	1	0.373900966
LOC100044756	20.9	29.1	25	31.3	28.9	19.2	0.079170213	0.333985687	0.755166313
LOC100044766	0	0	0.7	0	0	0	-0.30256277	1	0.373900966
LOC100044767	3	0	0	0	0.7	0	-0.69743723	0.746611594	0.49679092
LOC100044774	1.2	5	3.2	5.6	3.4	3.9	0.358686645	0.908861002	0.414831748
LOC100044776	261.7	269	218	259.4	140.6	305.8	-0.0847784	0.276568728	0.795813857
E330020G21RIK	134.4	116.7	136.8	76.4	94.2	112.4	-0.450784438	2.872549887	0.045351955
LOC100046503	1136.4	1206.3	1277.3	803.9	1011.3	832	-0.451083568	4.230911485	0.013360304
LOC100044829	656.8	919.5	966.5	761.6	969.2	818.5	0.00367883	0.01891501	0.9858148
LOC100044842	61.1	72.1	70.3	78.4	69.6	80.2	0.162999616	1.742377051	0.156402936
LOC100044862	467.6	842.9	768.9	322.8	397.6	424.4	-0.859375937	2.623875406	0.05856087
LOC100044873	0	0	3.6	0	0	0	-1.137503524	1	0.373900966
LOC100044897	0	0	1.5	2.6	1.3	1.1	0.830074999	1.699750259	0.16440305
MYCBP	61.4	68.6	68.8	48.7	46.8	48.8	-0.454168744	7.210483548	0.001961375
LOC100044934	4.5	8.4	3.5	3.6	2.4	4.4	-0.533823652	1.247026701	0.280419134
LOC100044941	0	1.7	3.2	5.6	1.8	0	0.39665897	0.440498715	0.682334629
LOC100044948	126.8	180.5	179.2	172.8	287.2	181.3	0.396423735	1.263819599	0.274929828
LOC100044968	42.4	49.8	20.8	40.4	32.8	55.2	0.17984047	0.470694969	0.662378629
LOC100044971	0	0.9	0.7	0	0	0	-0.61667136	1.95471111	0.122294245
LOC100045002	1.7	3.6	0	0.1	0	0	-1.420843121	1.666187474	0.171004919
LOC100045005	238	374.8	391.7	169.7	301.7	163.8	-0.658699325	1.856989584	0.136876734
LOC100045019	4.8	3.2	5.9	6.9	7.4	13.2	0.851785996	2.09057657	0.10476243
LOC100045040	87.7	75.1	94.5	104.9	101.4	97.8	0.238533201	2.582169675	0.061187145
LOC100045044	0.9	0	3.8	1.7	1.5	0	-0.31259023	0.39501049	0.712993943
LOC100045081	7.8	3.6	6.2	3.3	2.4	0.1	-1.227068909	2.536022235	0.064251892
LOC100045098	0	5.5	0	0.2	0	4.2	-0.199937571	0.160298087	0.880415707
LOC100045117	0.7	0	10.6	0	7.5	7.9	0.363690619	0.319339436	0.765451192
LOC100045136	0.3	0	0.5	0.7	0	0	-0.038474148	0.121267813	0.909326718
LOC100045143	0.9	0	2.1	1.9	0.3	2.4	0.341036918	0.607351694	0.57640731
LOC100045160	1	0	0	0	0	0	-0.415037499	1	0.373900966
LOC100045176	4.5	4.2	0.2	0.5	0	4.1	-0.64689025	0.756601494	0.491405854
LOC100045185	2.1	0.6	0	0	2.4	1.4	0.254572827	0.392107653	0.714973806
LOC100045188	9.2	9.8	1.6	2.3	6.6	0.4	-0.940128544	1.17207053	0.306213236
BRF1	167	183	198.9	122.8	139.1	137	-0.457570308	4.745599969	0.009
LOC100045224	0	0	1	0	0.7	0	-0.112474729	0.245769576	0.817956179
LOC386195	9.9	8.4	10.7	8.1	6.1	6.1	-0.45774195	3.05875711	0.037704221
LOC100045240	4.8	0	6.9	1.5	0.2	10.3	0.029146346	0.026506152	0.980123295
LOC100045241	0	0	0	0	0	0.8	0.341036918	1	0.373900966
LOC100045250	0.2	0	1.2	0	0	0	-0.552541023	1.257237114	0.277069167
LOC100045252	0	0	0.9	0.6	6.3	0	1.343954401	0.985329278	0.380245766
LOC100045254	17.6	34.1	27.4	30.7	22.3	10.7	-0.299695461	0.682492443	0.532403201
LOC100045262	3	6.2	7.4	2.1	2.2	7	-0.454838507	0.848135713	0.44413351
LOC100045266	86.3	57	71.1	65.3	87.5	70.8	0.059795921	0.284574799	0.790094864
LOC100045268	0.4	1.7	0	0	0	0	-0.765534746	1.364096585	0.244248912
LOC100045272	3	0	0	0	0.7	0	-0.69743723	0.746611594	0.49679092
LOC100045274	0	0	2.5	0	0	3.1	0.149377624	0.150660588	0.887535736
LOC100045280	67.9	39.9	41.2	70	100.8	61.8	0.632268215	1.86112161	0.136223457
LOC100045284	4.2	1	3.4	4.6	4.3	3.6	0.41814341	1.292127646	0.265909064
LOC100045300	778	824.1	721.7	804.8	859.3	832.7	0.103465465	1.719845058	0.160579159
LOC100045304	3.9	13.6	2.9	4.2	19.4	3.2	0.348803801	0.341106611	0.750187768
LOC100045306	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
NUP85	582.4	565.7	579	437.9	438.1	379.6	-0.45903558	7.810467327	0.001450147
LOC100045316	4.3	3.7	4.2	3.2	9.1	3.6	0.314314911	0.644869461	0.55413435
LOC100045338	0.9	0	0	0	0	0	-0.378511623	1	0.373900966
LOC100045340	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
LOC100045341	0	0.9	0	0.4	1.7	2.6	0.981384322	1.795331247	0.147035139
LOC100045342	4.1	2.3	3.4	0	3.5	0	-0.977632187	1.642051011	0.175923913
LOC100045343	75.7	52.5	41.2	87.6	72.8	122.4	0.729246142	2.115579597	0.101847938
LOC100045356	0	0	0	0	2.8	0.3	1.023846742	1.164229438	0.309036493
LOC100045359	204.5	371.6	212.8	228	281.1	239.1	-0.076121197	0.239172794	0.822726531
LOC100045362	0	0	2.8	0	0	0	-0.9510904	1	0.373900966
LOC100045391	10	5.9	0.9	9	0.9	4.6	-0.178145508	0.217679696	0.838332094
LOC100045403	0.6	0	0	0	0	0	-0.263034406	1	0.373900966
LOC100045404	2.3	2.5	8.1	5.6	3.9	7.2	0.309168864	0.595716668	0.583434833
LOC100045413	0	0	0	1.6	0.3	0.4	0.821029859	1.835599834	0.140312781
LOC100045419	0	0.6	1.3	0	0	0	-0.707819249	1.685977368	0.167079229
LOC100045421	0	0	2.8	0	2.6	1.9	0.370837695	0.466673844	0.665017169
FAM134A	738	591.5	601.4	444	459.8	499.6	-0.459506221	3.511020026	0.024649169
ZFP410	40.4	48.2	55.7	35.8	35.9	32.4	-0.45979895	2.935792908	0.042567198
LOC100045437	0	0.7	0	0	2.1	1.3	0.790546634	1.374263816	0.241331753
LOC100045439	37.8	33	55.5	46.8	33.9	34.4	-0.13071331	0.464454487	0.666475962
LOC100045448	4	3.2	0	0	0.4	3.1	-0.650057529	0.789381048	0.474047667
LOC100045457	35	21.2	25.5	29.4	38.3	42	0.412053641	1.687175633	0.166844588
